_RID,id,text_input,cluster
506,90666359,Ingba,ING
507,90682554,Ing depot,ING
508,90672558,Ing diba,Ing-Diba
509,90681121,IngDiba,Ing-Diba
510,90682820,IngDiba,Ing-Diba
511,90669718,Ing DiBa,Ing-Diba
512,90683703,Ing DiBa,Ing-Diba
513,90680171,ING Diba,Ing-Diba
514,90681876,ING Diba,Ing-Diba
515,90675446,Instagram,
516,90663598,Intel,
517,90682141,Investitionen,
518,90674505,Investmentfonds,
519,90673062,Investopedia,
520,90679578,Investor,
521,90665529,IQ Option,
522,90663023,Itoro,eToro
523,90674184,JA,
524,90678163,jhjhhj,
525,90671821,Julian hosp,
526,90674600,Just Etf,
527,90662143,ka,
528,90675116,k.a.,
529,90678364,Ka,
530,90661662,Ka,
531,90671482,Kei e,keine
532,90685761,keien,keine
533,90681032,Kein Ahnung,Keine Ahnung
534,90679943,Kein bestimmtes,keine
535,90664493,keine,keine
536,90664479,keine,keine
537,90678548,keine,keine
538,90678635,keine,keine
539,90663950,keine,keine
540,90675795,keine,keine
541,90672645,keine,keine
542,90670419,keine,keine
543,90667776,keine,keine
544,90672659,keine,keine
545,90684291,keine,keine
546,90682175,keine,keine
547,90680152,keine,keine
548,90680105,keine,keine
549,90685790,keine,keine
550,90670182,keine,keine
551,90668899,keine,keine
552,90670567,keine,keine
553,90683828,keine,keine
554,90680701,keine,keine
555,90666789,keine,keine
556,90685234,keine,keine
557,90683282,keine,keine
558,90676456,keine,keine
559,90666759,keine,keine
560,90682463,keine,keine
561,90675050,keine,keine
562,90673269,keine,keine
563,90675401,keine,keine
564,90676438,keine,keine
565,90666857,keine,keine
566,90674389,keine,keine
567,90681968,keine,keine
568,90685248,keine,keine
569,90671414,keine,keine
570,90681802,keine,keine
571,90665922,keine,keine
572,90671532,keine,keine
573,90684575,keine,keine
574,90677531,keine,keine
575,90685279,keine,keine
576,90671624,keine,keine
577,90677609,keine,keine
578,90662031,keine,keine
579,90683949,keine,keine
580,90662114,keine,keine
581,90662128,keine,keine
582,90662213,keine,keine
583,90667817,keine,keine
584,90667163,keine,keine
585,90675937,keine,keine
586,90662197,keine,keine
587,90666615,keine,keine
588,90664976,keine,keine
589,90672888,keine,keine
590,90664957,keine,keine
591,90669148,keine,keine
592,90685374,keine,keine
593,90664789,keine,keine
594,90661158,keine,keine
595,90672201,keine,keine
596,90669603,keine,keine
597,90666413,keine,keine
598,90662942,keine,keine
599,90681078,keine,keine
600,90682935,Keine,keine
601,90685153,Keine,keine
602,90685208,Keine,keine
603,90682159,Keine,keine
604,90682053,Keine,keine
605,90682004,Keine,keine
606,90661260,Keine,keine
607,90680240,Keine,keine
608,90669789,Keine,keine
609,90679506,Keine,keine
610,90671040,Keine,keine
611,90674130,Keine,keine
612,90671337,Keine,keine
613,90666191,Keine,keine
614,90675589,Keine,keine
615,90666062,Keine,keine
616,90665939,Keine,keine
617,90677434,Keine,keine
618,90662010,Keine,keine
619,90662251,Keine,keine
620,90664993,Keine,keine
621,90662722,Keine,keine
622,90662736,Keine,keine
623,90662754,Keine,keine
624,90672066,Keine,keine
625,90664579,Keine,keine
626,90678490,Keine,keine
627,90672241,Keine,keine
628,90664362,Keine,keine
629,90679146,Keine,keine
630,90679226,Keine,keine
631,90667913,Keine,keine
632,90676484,Keine,keine
633,90676539,Keine,keine
634,90674544,Keine,keine
635,90663639,Keine,keine
636,90663548,Keine,keine
637,90680715,Keine,keine
638,90683724,Keine,keine
639,90683810,Keine,keine
640,90680923,Keine,keine
641,90684608,Keine,keine
642,90670921,keine Ahnung,Keine Ahnung
643,90677878,keine Ahnung,Keine Ahnung
644,90679163,keine Ahnung,Keine Ahnung
645,90667832,keine Ahnung,Keine Ahnung
646,90674451,keine Ahnung,Keine Ahnung
647,90666560,Keine ahnung,Keine Ahnung
648,90667929,Keine ahnung,Keine Ahnung
649,90668596,Keine Ahnung,Keine Ahnung
650,90683247,Keine Ahnung,Keine Ahnung
651,90683262,Keine Ahnung,Keine Ahnung
652,90661590,Keine Ahnung,Keine Ahnung
653,90681581,Keine Ahnung,Keine Ahnung
654,90674305,Keine Ahnung,Keine Ahnung
655,90670551,Keine Ahnung,Keine Ahnung
656,90684202,Keine Ahnung,Keine Ahnung
657,90670505,Keine Ahnung,Keine Ahnung
658,90663816,Keine Ahnung,Keine Ahnung
659,90669005,Keine Ahnung,Keine Ahnung
660,90678415,Keine Ahnung,Keine Ahnung
661,90664025,Keine Ahnung,Keine Ahnung
662,90669834,Keine Ahnung,Keine Ahnung
663,90683384,Keine Angabe,Keine Ahnung
664,90685353,Keine Angaben,Keine Ahnung
665,90672847,keinen,keine
666,90674116,keinen,keine
667,90679440,keinen,keine
668,90667803,keinen,keine
669,90671269,Keinen,keine
670,90678667,Keiner,keine
671,90668514,Keiner,keine
672,90663310,Keines,keine
673,90661435,"Keine, und das ist gut so",keine
674,90685139,kenen,keine
675,90683527,Kenne ich nicht,keine
676,90684847,kenne keine,keine
677,90665256,kenne keine,keine
678,90681324,Kenne keine,keine
679,90674994,Kenne keine,keine
680,90673494,Kenne keine,keine
681,90675831,Kenne keine,keine
682,90668396,Kenne keine,keine
683,90667618,Kenne Keine,keine
684,90679806,kenne keinen,keine
685,90661349,kenneKeinen,keine
686,90677457,keone,keine
687,90666645,kkl,
688,90681258,Kp,
689,90671110,kraken,
690,90676611,Kraken,
691,90680563,krypto,crypto
692,90670903,krypto,crypto
693,90664314,Krypto,crypto
694,90672983,Krypto,crypto
695,90683471,Lang & Schwarz,
696,90661192,Libatex,Libertex
697,90661173,Libertex,Libertex
698,90673533,Libertex,Libertex
699,90685411,Libertex,Libertex
700,90679744,Libertex,Libertex
701,90681463,Libertex,Libertex
702,90666158,Lynx,
703,90685306,maxblue,
704,90677017,Meine Bank,Meine Bank
705,90676109,Meine Bank,Meine Bank
706,90679920,meine Hausbank,Hausbank
707,90668274,Mercedes,
708,90679183,Meta,
709,90678071,Metamask,
710,90672006,Mil,
711,90676167,Msci,
712,90673102,MSCI World,
713,90672674,Msic world,
714,90685623,n26,
715,90663934,Nachhaltigkeit,
716,90666579,Nachhaltigkeit,
717,90681099,Nasdaq,Nasdaq
718,90680938,Nein,keine
719,90665321,Nein,keine
720,90685700,Neobroker,
721,90662228,Netflix,
722,90665276,nft,
723,90685984,nft web,
724,90677040,nhjjn,
725,90665831,Nicht bekannt,
726,90662479,nichts,Weiß nicht
727,90677372,Nichts,Weiß nicht
728,90680827,Nix,
729,90679893,Nordstern,
730,90685557,ntv,
731,90676861,Offertoro,
732,90675995,ok,
733,90663328,onvista,Onvista
734,90684480,onvista,Onvista
735,90673761,Onvista,Onvista
736,90682618,Onvista,Onvista
737,90661527,Onvista,Onvista
738,90661986,OnVista,Onvista
739,90674667,otore,
740,90684695,plus500,Plus500
741,90669025,plus500,Plus500
742,90669681,plus500,Plus500
743,90668367,Plus500,Plus500
744,90674431,Plus500,Plus500
745,90662268,Plus500,Plus500
746,90685335,Plus500,Plus500
747,90669276,Plus500,Plus500
748,90683178,Plus500,Plus500
749,90663515,Plus500,Plus500
750,90667398,Plus 500,Plus500
751,90673428,Plus 500,Plus500
752,90683743,Post,Postbank
753,90668243,Postbank,Postbank
754,90670603,Postbank,Postbank
755,90665678,Postbank,Postbank
756,90672601,ProRealTime Trading,
757,90679864,Quirion,
758,90677646,rdt fwedt gwetzgw,
759,90674578,reliancecapitalltd,
760,90673295,renta4,
761,90675665,robinhood,Robinhood
762,90669050,robinhood,Robinhood
763,90684032,Robinhood,Robinhood
764,90672220,Roboforex,
765,90671601,rrtzuji,
766,90672800,Safemoon,
767,90668330,SB Broker,S-Broker
768,90675895,sbrocker,S-Broker
769,90665733,Sbroker,S-Broker
770,90664421,Sbroker,S-Broker
771,90666086,Sbroker,S-Broker
772,90683644,SBroker,S-Broker
773,90682292,S Broker,S-Broker
774,90664929,S-Broker,S-Broker
775,90668344,S-Broker,S-Broker
776,90686052,Scaalable Capital,Scalable Capital
777,90681661,scalable,Scalable Capital
778,90671127,scalable,Scalable Capital
779,90679605,Scalable,Scalable Capital
780,90682522,Scalable,Scalable Capital
781,90664163,Scalable,Scalable Capital
782,90664735,Scalable,Scalable Capital
783,90682778,Scalable,Scalable Capital
784,90677702,Scalable,Scalable Capital
785,90675603,Scalable,Scalable Capital
786,90673005,Scalable,Scalable Capital
787,90666209,Scalable,Scalable Capital
788,90672424,Scalable,Scalable Capital
789,90672306,Scalable,Scalable Capital
790,90668415,Scalable,Scalable Capital
791,90662773,Scalable,Scalable Capital
792,90683010,scalable capital,Scalable Capital
793,90672090,Scalable capital,Scalable Capital
794,90671897,Scalable Capital,Scalable Capital
795,90662808,Scalable Capital,Scalable Capital
796,90662497,Scalable Capital,Scalable Capital
797,90686008,Scalable Capital,Scalable Capital
798,90684515,Scalable Capital,Scalable Capital
799,90683303,Scalable Captial,Scalable Capital
800,90663749,Scalable Free Broker,Scalable Capital
801,90674721,Scaleable,Scalable Capital
802,90666390,sehr gut,
803,90670626,Sigma,
804,90664683,Skalable,
805,90677248,Smart,
806,90677738,smartbroker,Smartbroker
807,90680259,Smartbroker,Smartbroker
808,90682956,Smartbroker,Smartbroker
809,90677569,Smartbroker,Smartbroker
810,90662872,Smartbroker,Smartbroker
811,90669967,Smartbroker,Smartbroker
812,90677784,Smartbroker,Smartbroker
813,90678206,Smartbroker,Smartbroker
814,90669077,Smartbroker,Smartbroker
815,90668561,Smartphone,
816,90684058,sparda bank,
817,90678320,sparkasse,Sparkasse
818,90677910,sparkasse,Sparkasse
819,90684829,sparkasse,Sparkasse
820,90681984,sparkasse,Sparkasse
821,90674213,sparkasse,Sparkasse
822,90683142,sparkasse,Sparkasse
823,90685085,sparkasse,Sparkasse
824,90663289,sparkasse,Sparkasse
825,90684977,Sparkasse,Sparkasse
826,90666262,Sparkasse,Sparkasse
827,90677760,Sparkasse,Sparkasse
828,90678525,Sparkasse,Sparkasse
829,90672048,Sparkasse,Sparkasse
830,90665209,Sparkasse,Sparkasse
831,90681536,Sparkasse,Sparkasse
832,90680621,Sparkasse,Sparkasse
833,90685921,Sparkasse,Sparkasse
834,90662283,Sparkasse,Sparkasse
835,90680495,Sparkasse,Sparkasse
836,90674528,Sparkasse,Sparkasse
837,90668945,Sparkasse,Sparkasse
838,90677190,Sparkasse,Sparkasse
839,90669989,Sparkasse,Sparkasse
840,90676663,Sparkasse,Sparkasse
841,90672906,Sparkasse,Sparkasse
842,90676591,Sparkasse,Sparkasse
843,90665754,sparkassen broker,Sparkasse
844,90676788,Sparkassen Broker,Sparkasse
845,90677594,sparkassenfonds,Sparkasse
846,90683159,Sport,
847,90666598,Ssk,
848,90669746,sskbroker,S-Broker
849,90683365,stoker,
850,90676207,Storm,
851,90680842,Stuttgarter,
852,90684187,Super,
853,90685389,Sweatcoin,
854,90670768,Swissborg,
855,90674228,targobank,Targobank
856,90663142,Targobank,Targobank
857,90684221,Taxfix,
858,90662428,Templeton,
859,90681907,Tesla,
860,90667217,Tesla,
861,90686133,teste,
862,90669163,Tickmill,
863,90682428,Tipico,
864,90675757,Tko,
865,90675217,Toro,eToro
866,90685036,Toro,eToro
867,90673837,Traba,
868,90681273,Trada,
869,90679354,Trade R,
870,90680217,trade replubic,Trade Republic
871,90677316,Traderepubkic,Trade Republic
872,90672869,traderepublic,Trade Republic
873,90680797,traderepublic,Trade Republic
874,90681508,trade republic,Trade Republic
875,90676559,trade republic,Trade Republic
876,90667237,trade republic,Trade Republic
877,90672695,tradeRepublic,Trade Republic
878,90675093,trade Republic,Trade Republic
879,90686092,Traderepublic,Trade Republic
880,90661933,Traderepublic,Trade Republic
881,90662169,Traderepublic,Trade Republic
882,90667870,Traderepublic,Trade Republic
883,90668662,Traderepublic,Trade Republic
884,90681047,Traderepublic,Trade Republic
885,90666139,Traderepublic,Trade Republic
886,90663563,Traderepublic,Trade Republic
887,90679670,Trade republic,Trade Republic
888,90678735,Trade republic,Trade Republic
889,90678231,Trade republic,Trade Republic
890,90676383,Trade republic,Trade Republic
891,90676014,Trade republic,Trade Republic
892,90675693,Trade republic,Trade Republic
